"","state","stroke_value","pm2.5","tobacco_consumption","us","median_income","income_standard_error","mortality_rate","obesity_percentage"
"1","Alabama",66200.3,2620,11943.2,"AL",43418,1989,469.830882352941,35.6
"2","Alaska",11681,1263,11638.3,"AK",71409,2491,250.325,29.8
"3","Arizona",16272.9,586,10289.5,"AZ",50779,1557,287.3875,28.4
"4","Arkansas",59768.4,965,11772.5,"AR",43886,1559,454.767105263158,34.5
"5","California",63797.5,5941,9632.7,"CA",62096,1062,297.45593220339,24.2
"6","Colorado",39001.6,608,10705.4,"CO",63803,2147,252.741538461538,20.2
"7","Connecticut",7046.6,843,10064.3,"CT",71566,2817,289.633333333333,25.3
"8","Delaware",4012.5,322,10152,"DE",57672,2598,328.9,29.7
"9","Florida",62232.7,4142,10798.7,"FL",47509,884,324.886764705882,26.8
"10","Georgia",142246.5,5467,11079.5,"GA",50190,1245,392.12375,30.7
"11","Hawaii",4972.7,795,9868.4,"HI",67909,2123,253.533333333333,22.7
"12","Idaho",21349.6,4542,10383.1,"ID",52562,1542,297.882222222222,28.6
"13","Illinois",68344.6,1896,10040,"IL",57696,1379,353.546601941748,30.8
"14","Indiana",57748.9,5130,11105.7,"IN",50049,1444,365.208602150538,31.3
"15","Iowa",44099,3062,10357.9,"IA",59366,2396,324.428,32.1
"16","Kansas",55901.6,507,11477.7,"KS",54185,2564,324.425471698113,34.2
"17","Kentucky",71292.7,2738,12559.3,"KY",42611,1452,434.755371900826,34.6
"18","Louisiana",60711.8,2602,11736,"LA",44189,1358,465.781538461538,36.2
"19","Maine",7026.2,1058,11006.2,"ME",51263,1550,311.429411764706,30
"20","Maryland",22116.8,1806,10395.5,"MD",74923,2837,350.732,28.9
"21","Massachusetts",10993.5,1513,10405.5,"MA",65542,2076,273.26,24.3
"22","Michigan",54460.4,3076,11872.2,"MI",53134,1201,377.890476190476,31.2
"23","Minnesota",42038.7,3388,11286,"MN",68026,2301,254.3625,26.1
"24","Mississippi",78873.3,1337,11852.1,"MS",37800,880,479.028915662651,35.6
"25","Missouri",68411,2186,11245.6,"MO",57946,2091,413.681896551724,32.4
"26","Montana",23946.8,3325,11769.1,"MT",51278,1847,308.519298245614,23.6
"27","Nebraska",38945.8,1151,11597.3,"NE",58705,2111,303.65,31.4
"28","Nevada",12333.9,633,10539.6,"NV",50970,1643,385.172222222222,26.7
"29","New Hampshire",4656.1,510,10337.8,"NH",74579,2673,291.490909090909,26.3
"30","New Jersey",19977.6,1317,10422.9,"NJ",66838,2240,331.268181818182,25.6
"31","New Mexico",22691.2,1085,10823,"NM",45929,2248,307.655882352941,28.8
"32","New York",37670.4,2894,10321.8,"NY",56189,1643,350.104761904762,25
"33","North Carolina",89599.3,5098,11348.6,"NC",48818,1142,332.845544554455,30.1
"34","North Dakota",21433.9,662,11363.3,"ND",59108,2231,300.633333333333,31
"35","Ohio",64221.1,4764,11590.6,"OH",51501,1280,375.48202247191,29.8
"36","Oklahoma",60414.4,1709,11452.5,"OK",47165,1880,470.54358974359,33.9
"37","Oregon",24564.1,6572,10488.6,"OR",59888,2081,277.854054054054,30.1
"38","Pennsylvania",47114.4,4855,10891.7,"PA",57812,1778,350.576470588235,30
"39","Rhode Island",3569.2,433,9694.7,"RA",57201,2954,301.083333333333,26
"40","South Carolina",46486.7,1591,11637.2,"SC",45670,1818,378.448936170213,31.7
"41","South Dakota",26252.7,1447,11317.8,"SD",54090,2412,307.235820895522,30.4
"42","Tennessee",74436.8,1926,11414.3,"TN",45548,1498,437.875,33.8
"43","Texas",211828.8,5109,10908.4,"TX",55205,926,377.383137254902,32.4
"44","Utah",19147,861,9949.9,"UT",64857,2221,303.526666666667,24.5
"45","Vermont",5546.2,586,10644,"VT",60136,2316,301.366666666667,25.1
"46","Virginia",90504.5,2578,10773.3,"VA",63858,2129,336.657037037037,29.2
"47","Washington",32544.8,8416,10675.3,"WA",63190,2311,280.6925,26.4
"48","West Virginia",30765.2,1218,11508.4,"WV",41210,2012,374.169642857143,35.6
"49","Wisconsin",39429.9,2376,11023.5,"WI",56786,1368,306.168493150685,30.7
"50","Wyoming",9290.3,557,11463.4,"WY",58340,1498,307.4125,29
"51",NA,19127.9,NA,NA,NA,NA,NA,NA,NA
